,code
0,JRESST
1,ALCAZJJ
2,AGKQTTQ
3,GCHDLO
4,CBIINS
5,DDAKTXS
6,BZJNJFQ
7,ACDVOSV
8,MEVAGI
9,IAQHKB
10,BYUUMVJ
11,AIMKNQK
12,AITZLZT
13,ABIKGMC
14,IRONCC
15,BYSFXOB
16,RDIECI
17,TECCOD
18,SNUTRI
19,HUAIGL
20,GEOIHP
21,BRKWPI
22,YNGYCR
23,FHPARC
24,ADAIVXZ
25,GIHINS
26,CSIPICQ
27,BIOCII
28,TNEURS
29,ITHERI
30,WFSERI
31,PRDCVL
32,TQRWFP
33,JIMMDI
34,ISST
35,KERAIN
36,NSMCEN
37,GISHBI
38,SOMCBC
39,CAMPQM
40,MHOTL
41,BATTEK
42,AKXAUNE
43,KBCITV
44,DPAROI
45,HONOHS
46,HMBHCI
47,ZERUSL
48,SRCNRR
49,LAUHTC
50,NXTWPI
51,ACLLA
52,FDLIU
53,FITZII
54,NAKICP
55,AAGPIHE
56,NAINCU
57,WSHCHD
58,LGMPH
59,SOCFPD
60,NJCUU
61,DCQGFGI
62,IOCDFI
63,FENWAI
64,AMARBC
65,OOASSO
66,CPWUORD
67,EWFFHI
68,URESIL
69,BZPFOUE
70,POLACM
71,ANENHLK
72,LABOUK
73,TFNDTI
74,GSHCKC
75,SFMTEI
76,RRYKUT
77,NCSACO
78,AAKZKIG
79,DECMUS
80,AOHJVHB
81,AGGXYGK
82,VSMSC
83,CVMCOFI
84,OTWMKM
85,SHADLA
86,UNATEP
87,NUEVSC
88,NSLASI
89,UTECRC
90,TENNSI
91,FCTIHS
92,COSTKDM
93,UANDFT
94,WNGTCH
95,AOMWLNP
96,ZEVCIL
97,GCANTT
98,HCANCF
99,NSTAHS
100,AKJPGBC
101,GRDIHD
102,AAJBVXA
103,AITLQDT
104,BZGTVHL
105,SEMBCG
106,STRLFC
107,ANCRZNM
108,MDFLWI
109,ATLDIA
110,BRULFT
111,BHWHUG
112,AMRZUHM
113,ICTIFM
114,NAOSUA
115,TSOCOC
116,RNDVWC
117,RINCPI
118,ONONDS
119,NASHMG
120,SWINGL
121,COUFFHJ
122,INDFBI
123,AIAUODL
124,MSSLWH
125,AAPSMU
126,CHFOUI
127,UVEITF
128,OCEPIN
129,HUNCAA
130,TNNBTI
